S809 AIRFOIL
	31.0 30.0

0.00000 0.00000	
0.00037	0.00275
0.00575	0.01166
0.01626	0.02133
0.03158	0.03136
0.05147	0.04143
0.07568	0.05132
0.1039	0.06082
0.1358	0.06972
0.17103	0.07786
0.2092	0.08505
0.24987	0.09113
0.29259	0.09594
0.33689	0.09933
0.38223	0.10109
0.42809	0.10101
0.47384	0.09843
0.52005	0.09237
0.56801	0.08356
0.61747	0.07379
0.66718	0.06403
0.71606	0.05462
0.76314	0.04578
0.80756	0.03761
0.84854	0.03017
0.88537	0.02335
0.91763	0.01694
0.94523	0.01101
0.96799	0.006
0.98528	0.00245
0.99623	0.00054

0.00000	0.00000
0.00140	-0.00498
0.00933	-0.01272
0.02321	-0.02162
0.04223	-0.03144
0.06579	-0.04199
0.09325	-0.05301
0.12397	-0.06408
0.15752	-0.07467
0.19362	-0.08447
0.23175	-0.09326
0.27129	-0.10060
0.31188	-0.10589
0.35328	-0.10866
0.39541	-0.10842
0.43832	-0.10484
0.48234	-0.09756
0.52837	-0.08697
0.57663	-0.07442
0.62649	-0.06112
0.67710	-0.04792
0.72752	-0.03558
0.77668	-0.02466
0.82348	-0.01559
0.86677	-0.00859
0.90545	-0.00370
0.93852	-0.00075
0.96509	 0.00054
0.98446	 0.00065
0.99612	 0.00024

