dr	chord	twist	thick
0.8835	0.1830	0.0000	0.1830
0.9460	0.2660	3.3500	0.1730
1.0085	0.3490	6.7000	0.1630
1.0675	0.4410	9.9000	0.1540
1.1335	0.5440	13.4000	0.1540
1.1955	0.6405	16.7200	0.1540
1.2575	0.7370	20.0400	0.1540
1.3430	0.7280	18.0740	0.1525
1.5100	0.7110	14.2920	0.1490
1.6480	0.6970	11.9090	0.1460
1.9520	0.6660	7.9790	0.1395
2.3430	0.6270	4.7150	0.1314
2.5620	0.6050	3.4250	0.1267
2.8670	0.5740	2.0830	0.1203
3.1850	0.5420	1.1150	0.1135
3.4760	0.5120	0.4940	0.1073
3.7810	0.4820	-0.0150	0.1010
4.0860	0.4510	-0.4750	0.0945
4.3910	0.4200	-0.9200	0.0880
4.6960	0.3890	-1.3520	0.0815
5.0000	0.3580	-1.7750	0.0750
5.3050	0.3280	-2.1910	0.0687
5.4185	0.3165	-2.2205	0.0663
5.5320	0.3050	-2.5000	0.0639
